,Financial Benchmarks India Private Ltd,,,,
,,,,,
FBIL SDL/SGS Prices/Yields,,,18-Sep-26,,
Calculating Agent: FBIL,,,,,
ISIN,Description,Coupon,Maturity (dd-mmm-yyyy),Price(Rs),YTM% p.a. (Semi-Annual)
IN1420160047,07.16 GA SDL 2026,7.16,28/Sep/2026,100.0282,5.5932
IN2220160070,07.16 MH SDL 2026,7.16,28/Sep/2026,100.0282,5.5932
IN2120160048,07.16 MP SDL 2026,7.16,28/Sep/2026,100.0282,5.5932
IN2920160164,07.17 RJ SDL 2026,7.17,28/Sep/2026,100.0284,5.5932
IN1620160193,07.18 HR SDL 2026,7.18,28/Sep/2026,100.0286,5.5932
IN1820160043,07.18 JK SDL 2026,7.18,28/Sep/2026,100.0286,5.5932
IN2420160052,07.18 ML SDL 2026,7.18,28/Sep/2026,100.0286,5.5932
IN3620160041,07.18 UK SDL 2026,7.18,28/Sep/2026,100.0286,5.5932
IN3320160234,07.19 UP SDL 2026,7.19,28/Sep/2026,100.0288,5.5932
IN3420160068,07.19 WB SDL 2026,7.19,28/Sep/2026,100.0288,5.5932
IN1520220097,07.49 GJ SGS 2026,7.49,28/Sep/2026,100.0345,5.5932
IN3820210018,05.96 PY SDL 2026,5.96,29/Sep/2026,100.0064,5.5932
IN2920210316,06.01 RJ SDL 2026,6.01,06/Oct/2026,100.0142,5.5932
IN3620160058,07.18 UK SDL 2026OCT,7.18,13/Oct/2026,100.0907,5.5932
IN1720160010,07.17 HP SDL 2026,7.17,13/Oct/2026,100.0901,5.5932
IN4520160107,07.16 TS SDL 2026,7.16,13/Oct/2026,100.0895,5.5932
IN3320160242,07.16 UP SDL 2026,7.16,13/Oct/2026,100.0895,5.5932
IN3420160076,07.16 WB SDL 2026,7.16,13/Oct/2026,100.0895,5.5932
IN2020160098,07.15 KL SDL 2026,7.15,13/Oct/2026,100.0889,5.5932
IN2120160055,07.15 MP SDL 2026,7.15,13/Oct/2026,100.0889,5.5932
IN2220160088,07.15 MH SDL 2026,7.15,13/Oct/2026,100.0889,5.5932
IN1620160201,07.14 HR SDL 2026,7.14,13/Oct/2026,100.0883,5.5932
IN1920160018,07.14 KA SDL 2026,7.14,13/Oct/2026,100.0883,5.5932
IN3120160111,07.14 TN SDL 2026,7.14,13/Oct/2026,100.0883,5.5932
IN1120160024,07.09 AR SDL 2026,7.09,13/Oct/2026,100.0854,5.5932
IN2320160053,07.09 MN SDL 2026,7.09,13/Oct/2026,100.0854,5.5932
IN1520220121,07.41 GJ SGS 2026,7.41,19/Oct/2026,100.1333,5.5932
IN1520210130,06.04 GJ SDL 2026,6.04,20/Oct/2026,100.0308,5.5932
IN3420160084,07.25 WB SDL 2026,7.25,26/Oct/2026,100.1520,5.5932
IN3620160066,07.25 UK SDL 2026,7.25,26/Oct/2026,100.1520,5.5932
IN3720160016,07.25 JH SDL 2026,7.25,26/Oct/2026,100.1520,5.5932
IN3320160259,07.24 UP SDL 2026,7.24,26/Oct/2026,100.1511,5.5932
IN1020160355,07.23 AP SDL 2026,7.23,26/Oct/2026,100.1502,5.5932
IN1220160015,07.23 AS SDL 2026,7.23,26/Oct/2026,100.1502,5.5932
IN2120160063,07.23 MP SDL 2026,7.23,26/Oct/2026,100.1502,5.5932
IN3020160021,07.23 SK SDL 2026,7.23,26/Oct/2026,100.1502,5.5932
IN3120160129,07.23 TN SDL 2026,7.23,26/Oct/2026,100.1502,5.5932
IN1620160219,07.22 HR SDL 2026,7.22,26/Oct/2026,100.1492,5.5932
IN1920160026,07.22 KA SDL 2026,7.22,26/Oct/2026,100.1492,5.5932
IN2220160096,07.22 MH SDL 2026,7.22,26/Oct/2026,100.1492,5.5932
IN2320160061,07.22 MN SDL 2026,7.22,26/Oct/2026,100.1492,5.5932
IN2620160043,07.22 NG SDL 2026,7.22,26/Oct/2026,100.1492,5.5932
IN3220160037,07.22 TR SDL 2026,7.22,26/Oct/2026,100.1492,5.5932
IN2920160172,07.21 RJ SDL 2026,7.21,26/Oct/2026,100.1483,5.5932
IN1220210091,06.09 AS SDL 2026,6.09,27/Oct/2026,100.0437,5.5932
IN3820200035,05.75 PY SDL 2026,5.75,28/Oct/2026,100.0110,5.5932
IN2820200052,06.80 PN SDL 2026,6.8,06/Nov/2026,100.1262,5.5932
