Financial Benchmarks India Private Ltd ,,,
,,,
FBIL - SDL/SGS Zero Coupon Yields,,18/Sep/2026,
,,,
Tenor (Year),Zero Coupon%  (Semi-annual),Zero Coupon %          (Annualized),
0.25,5.59,5.67,
0.50,5.96,6.05,
0.75,6.14,6.23,
1.00,6.32,6.42,
1.25,6.47,6.57,
1.50,6.61,6.72,
1.75,6.78,6.89,
2.00,7,7.12,
2.25,7.22,7.35,
2.50,7.24,7.37,
2.75,7.2,7.33,
3.00,7.2,7.33,
3.25,7.24,7.37,
3.50,7.28,7.41,
3.75,7.28,7.41,
4.00,7.28,7.41,
4.25,7.3,7.44,
4.50,7.33,7.46,
4.75,7.34,7.47,
5.00,7.33,7.47,
5.25,7.37,7.5,
5.50,7.43,7.57,
5.75,7.5,7.65,
6.00,7.55,7.69,
6.25,7.57,7.71,
6.50,7.6,7.74,
6.75,7.61,7.75,
7.00,7.57,7.72,
7.25,7.6,7.74,
7.50,7.68,7.83,
7.75,7.7,7.85,
8.00,7.67,7.82,
8.25,7.66,7.81,
8.50,7.71,7.86,
8.75,7.82,7.97,
9.00,7.85,8,
9.25,7.79,7.94,
9.50,7.74,7.89,
9.75,7.73,7.88,
10.00,7.75,7.9,
10.25,7.78,7.93,
10.50,7.8,7.95,
10.75,7.8,7.95,
11.00,7.8,7.95,
11.25,7.8,7.95,
11.50,7.81,7.96,
11.75,7.83,7.98,
12.00,7.84,7.99,
12.25,7.85,8,
12.50,7.86,8.01,
12.75,7.86,8.01,
13.00,7.86,8.01,
13.25,7.85,8.01,
13.50,7.85,8,
13.75,7.85,8,
14.00,7.85,8,
