Financial Benchmarks India Private Ltd ,,
,,
FBIL - GOI Zero Coupon Yields,,18-Sep-2026
,,
Tenor (Year),Zero Coupon%  (Semi-annual),Zero Coupon %          (Annualized)
0.25,5.37,5.44
0.50,5.74,5.82
0.75,5.94,6.03
1.00,6.03,6.12
1.25,6.11,6.20
1.50,6.18,6.28
1.75,6.26,6.36
2.00,6.33,6.43
2.25,6.41,6.51
2.50,6.48,6.58
2.75,6.54,6.65
3.00,6.60,6.71
3.25,6.65,6.76
3.50,6.70,6.81
3.75,6.74,6.85
4.00,6.77,6.88
4.25,6.79,6.91
4.50,6.81,6.93
4.75,6.81,6.93
5.00,6.83,6.95
5.25,6.87,6.99
5.50,6.92,7.04
5.75,6.96,7.08
6.00,6.98,7.10
6.25,6.98,7.10
6.50,6.99,7.11
6.75,7.00,7.12
7.00,7.02,7.14
7.25,7.04,7.16
7.50,7.07,7.19
7.75,7.08,7.21
8.00,7.08,7.21
8.25,7.08,7.21
8.50,7.07,7.19
8.75,7.08,7.21
9.00,7.09,7.22
9.25,7.11,7.24
9.50,7.13,7.26
9.75,7.15,7.28
10.00,7.17,7.30
10.25,7.19,7.32
10.50,7.20,7.33
10.75,7.21,7.34
11.00,7.21,7.34
11.25,7.22,7.35
11.50,7.22,7.35
11.75,7.23,7.36
12.00,7.23,7.36
12.25,7.23,7.36
12.50,7.24,7.37
12.75,7.24,7.37
13.00,7.25,7.38
13.25,7.26,7.39
13.50,7.28,7.41
13.75,7.29,7.42
14.00,7.31,7.44
14.25,7.34,7.47
14.50,7.36,7.50
14.75,7.39,7.53
15.00,7.42,7.56
15.25,7.45,7.59
15.50,7.48,7.62
15.75,7.50,7.64
16.00,7.53,7.67
16.25,7.56,7.70
16.50,7.59,7.73
16.75,7.61,7.75
17.00,7.64,7.79
17.25,7.67,7.82
17.50,7.69,7.84
17.75,7.71,7.86
18.00,7.73,7.88
18.25,7.76,7.91
18.50,7.77,7.92
18.75,7.79,7.94
19.00,7.81,7.96
19.25,7.83,7.98
19.50,7.84,7.99
19.75,7.85,8.00
20.00,7.87,8.02
20.25,7.88,8.04
20.50,7.89,8.05
20.75,7.90,8.06
21.00,7.91,8.07
21.25,7.91,8.07
21.50,7.92,8.08
21.75,7.93,8.09
22.00,7.93,8.09
22.25,7.94,8.10
22.50,7.94,8.10
22.75,7.95,8.11
23.00,7.95,8.11
23.25,7.95,8.11
23.50,7.95,8.11
23.75,7.96,8.12
24.00,7.96,8.12
24.25,7.96,8.12
24.50,7.96,8.12
24.75,7.96,8.12
25.00,7.96,8.12
25.25,7.96,8.12
25.50,7.97,8.13
25.75,7.97,8.13
26.00,7.97,8.13
26.25,7.97,8.13
26.50,7.97,8.13
26.75,7.97,8.13
27.00,7.98,8.14
27.25,7.98,8.14
27.50,7.98,8.14
27.75,7.98,8.14
28.00,7.99,8.15
28.25,7.99,8.15
28.50,7.99,8.15
28.75,8.00,8.16
29.00,8.00,8.16
29.25,8.01,8.17
29.50,8.02,8.18
29.75,8.02,8.18
30.00,8.03,8.19
30.25,8.04,8.20
30.50,8.04,8.20
30.75,8.05,8.21
31.00,8.06,8.22
31.25,8.07,8.23
31.50,8.07,8.23
31.75,8.08,8.24
32.00,8.09,8.25
32.25,8.10,8.26
32.50,8.11,8.27
32.75,8.11,8.27
33.00,8.12,8.28
33.25,8.13,8.30
33.50,8.14,8.31
33.75,8.15,8.32
34.00,8.15,8.32
34.25,8.16,8.33
34.50,8.17,8.34
34.75,8.17,8.34
35.00,8.18,8.35
35.25,8.19,8.36
35.50,8.19,8.36
35.75,8.20,8.37
36.00,8.20,8.37
36.25,8.21,8.38
36.50,8.21,8.38
36.75,8.22,8.39
37.00,8.22,8.39
37.25,8.22,8.39
37.50,8.22,8.39
37.75,8.23,8.40
38.00,8.23,8.40
38.25,8.23,8.40
38.50,8.23,8.40
38.75,8.23,8.40
39.00,8.23,8.40
39.25,8.23,8.40
39.50,8.23,8.40
39.75,8.23,8.40
40.00,8.23,8.40
40.25,8.23,8.40
40.50,8.23,8.40
40.75,8.23,8.40
41.00,8.23,8.40
41.25,8.23,8.40
41.50,8.23,8.40
41.75,8.22,8.39
42.00,8.22,8.39
42.25,8.22,8.39
42.50,8.22,8.39
42.75,8.22,8.39
43.00,8.22,8.39
43.25,8.21,8.38
43.50,8.21,8.38
43.75,8.21,8.38
44.00,8.21,8.38
44.25,8.21,8.38
44.50,8.20,8.37
44.75,8.20,8.37
45.00,8.20,8.37
45.25,8.19,8.36
45.50,8.19,8.36
45.75,8.19,8.36
46.00,8.19,8.36
46.25,8.18,8.35
46.50,8.18,8.35
46.75,8.18,8.35
47.00,8.17,8.34
47.25,8.17,8.34
47.50,8.17,8.34
47.75,8.16,8.33
48.00,8.16,8.33
48.25,8.16,8.33
48.50,8.15,8.32
48.75,8.15,8.32
49.00,8.14,8.31
49.25,8.14,8.31
49.50,8.14,8.31
49.75,8.13,8.30
50.00,8.13,8.30
