Period (k),STRIP Type,Nomenclature,Maturity Date,Tenor (Yrs),Cash Flow (Rs),Spot Rate (%),Raw PV (Rs),Normalized Value (Rs)
1,Coupon STRIP,CS 07 JAN 2027,07-Jan-2027,0.3,3.755,5.6803,3.651296909788542,3.629468363954727
2,Coupon STRIP,CS 07 JUL 2027,07-Jul-2027,0.8,3.755,6.1732,3.533501677021288,3.512377346347454
3,Coupon STRIP,CS 07 JAN 2028,07-Jan-2028,1.3,3.755,6.499,3.4115061029970772,3.3911110983805055
4,Coupon STRIP,CS 07 JUL 2028,07-Jul-2028,1.8,3.755,6.8207,3.2836254368391034,3.2639949411220965
5,Coupon STRIP,CS 07 JAN 2029,07-Jan-2029,2.31,3.755,7.2412,3.1432570403337055,3.1244657089061114
6,Coupon STRIP,CS 07 JUL 2029,07-Jul-2029,2.8,3.755,7.1959,3.037410957955382,3.0192524060901214
7,Coupon STRIP,CS 07 JAN 2030,07-Jan-2030,3.3,3.755,7.2507,2.9264952299571045,2.908999765513141
8,Coupon STRIP,CS 07 JUL 2030,07-Jul-2030,3.8,3.755,7.2788,2.821055028204415,2.804189916846916
9,Coupon STRIP,CS 07 JAN 2031,07-Jan-2031,4.3,3.755,7.3065,2.7187152379020585,2.7024619444433586
10,Coupon STRIP,CS 07 JUL 2031,07-Jul-2031,4.8,3.755,7.3375,2.6189752301570266,2.6033182123188308
11,Coupon STRIP,CS 07 JAN 2032,07-Jan-2032,5.3,3.755,7.3819,2.520346106897546,2.5052787234798886
12,Coupon STRIP,CS 07 JUL 2032,07-Jul-2032,5.8,3.755,7.513,2.4122750132085518,2.397853711136834
13,Coupon STRIP,CS 07 JAN 2033,07-Jan-2033,6.31,3.755,7.5755,2.315844273828965,2.3019994635809313
14,Coupon STRIP,CS 07 JUL 2033,07-Jul-2033,6.8,3.755,7.6031,2.22718974276636,2.213874935841115
15,Coupon STRIP,CS 07 JAN 2034,07-Jan-2034,7.3,3.755,7.6171,2.1434442327481995,2.1306300815485697
16,Coupon STRIP,CS 07 JUL 2034,07-Jul-2034,7.8,3.755,7.6959,2.052317549508281,2.040048180897121
17,Coupon STRIP,CS 07 JAN 2035,07-Jan-2035,8.3,3.755,7.6644,1.9813748068405206,1.969529555179628
18,Coupon STRIP,CS 07 JUL 2035,07-Jul-2035,8.8,3.755,7.8352,1.8802155535966787,1.8689750622306907
19,Coupon STRIP,CS 07 JAN 2036,07-Jan-2036,9.3,3.755,7.7762,1.8191047885416352,1.8082296356208354
20,Coupon STRIP,CS 07 JUL 2036,07-Jul-2036,9.8,3.755,7.7323,1.7584537876444646,1.7479412245611008
20,Principal STRIP,PS 07 JUL 2036,07-Jul-2036,9.8,100.0,7.7323,46.8296614552454,46.54969972200003
